ID,KEY,VALUE
13,"IP Address
(Management iDRAC, iLO)",-
13,Operating System,Ubuntu 20.04
13,Service Pack,-
13,Database Vsersion,MariaDB
13,Service patch,10.5
13,เลขที่สัญญา,-
13,Delivery Date,-
13,MA Status,-
13,MA Start Date,-
13,MA Expired Date,-
13,Vender,-
13,ประเภทการรับประกัน,-
13,Owner,วศิน ศีติสาร
13,Type of Asset,Hardware
13, ISO Scope,No
13,System Doc,-
13,HealthCheck,-
13,Allow port firewall Server,-
13,Deploy App,
14,CI Name,SIA09-MLUT01
14,Primary Capability,VM
14,Group (ห้ามแก้),ระบบสำนักงาน-คลังข้อมูล
14,System (ห้ามแก้),Test / UAT
14,System Detail,ระบบงานหอสมุดคณะฯ
14,Server Type (ห้ามแก้),
14,"Environment(Production, UAT, Testing/Development, Not Used,..)",UAT
14,SAP ID,-
14,รหัสครุภัณฑ์,-
14,Serial Number,VMWare
14,Organization,Siriraj
14,"Status
(Active / Inactive)",Active
14,Product Name,-
14,Model/Version,-
14,DC Room - Building,ตึกศรีสวรินทิรา
14,Floor,7
14,Rack Number,-
14,Unit,-
14,Is Virtual?,Y
14,VM Cluster Group,ESPR Cluster
14,"IP Address
(Primary)",10.7.2.108
14,"IP Address
(BAK)",-
14,"IP Address
(Management iDRAC, iLO)",-
14,Operating System,Ubuntu 20.04
14,Service Pack,-
14,Database Vsersion,-
14,Service patch,-
14,เลขที่สัญญา,-
14,Delivery Date,-
14,MA Status,-
14,MA Start Date,-
14,MA Expired Date,-
14,Vender,-
14,ประเภทการรับประกัน,-
14,Owner,วศิน ศีติสาร
14,Type of Asset,Hardware
14, ISO Scope,No
14,System Doc,-
14,HealthCheck,-
14,Allow port firewall Server,-
14,Deploy App,
15,CI Name,SIA09-MLUT02
15,Primary Capability,VM
15,Group (ห้ามแก้),ระบบสำนักงาน-คลังข้อมูล
15,System (ห้ามแก้),Test / UAT
15,System Detail,ระบบงานหอสมุดคณะฯ
15,Server Type (ห้ามแก้),
15,"Environment(Production, UAT, Testing/Development, Not Used,..)",UAT
15,SAP ID,-
15,รหัสครุภัณฑ์,-
15,Serial Number,VMWare
15,Organization,Siriraj
15,"Status
(Active / Inactive)",Active
15,Product Name,-
15,Model/Version,-
15,DC Room - Building,ตึกศรีสวรินทิรา
15,Floor,7
15,Rack Number,-
15,Unit,-
15,Is Virtual?,Y
15,VM Cluster Group,ESPR Cluster
15,"IP Address
(Primary)",10.7.2.109
15,"IP Address
(BAK)",-
15,"IP Address
(Management iDRAC, iLO)",-
15,Operating System,Ubuntu 16.04
15,Service Pack,-
15,Database Vsersion,-
15,Service patch,-
15,เลขที่สัญญา,-
15,Delivery Date,-
15,MA Status,-
15,MA Start Date,-
15,MA Expired Date,-
15,Vender,-
15,ประเภทการรับประกัน,-
15,Owner,วศิน ศีติสาร
15,Type of Asset,Hardware
15, ISO Scope,No
15,System Doc,-
15,HealthCheck,-
15,Allow port firewall Server,-
15,Deploy App,
16,CI Name,SIA09-LRPR03
16,Primary Capability,VM
16,Group (ห้ามแก้),ระบบงานวิจัย - ห้องปฏิบัติการ
16,System (ห้ามแก้),ระบบ specimens ภาควิชาพยาธิ
16,System Detail,ระบบ specimens ภาควิชาพยาธิ (BioBlank)
16,Server Type (ห้ามแก้),
16,"Environment(Production, UAT, Testing/Development, Not Used,..)",Production
16,SAP ID,-
16,รหัสครุภัณฑ์,-
16,Serial Number,-
16,Organization,Siriraj
16,"Status
(Active / Inactive)",Active
16,Product Name,-
16,Model/Version,-
16,DC Room - Building,ตึกศรีสวรินทิรา
16,Floor,7
16,Rack Number,-
16,Unit,-
16,Is Virtual?,Y
16,VM Cluster Group,ESXC Cluster
16,"IP Address
(Primary)",10.7.2.118
16,"IP Address
(BAK)",-
16,"IP Address
(Management iDRAC, iLO)",-
16,Operating System,Ubuntu Linux (64-bit)
16,Service Pack,-
16,Database Vsersion,-
16,Service patch,-
16,เลขที่สัญญา,-
16,Delivery Date,-
16,MA Status,-
16,MA Start Date,-
16,MA Expired Date,-
16,Vender,-
16,ประเภทการรับประกัน,-
16,Owner,วศิน ศีติสาร
16,Type of Asset,Hardware
16, ISO Scope,Implement & Certified
16,System Doc,-
16,HealthCheck,-
16,Allow port firewall Server,-
16,Deploy App,
17,CI Name,SIA09-POCT03
17,Primary Capability,VM
17,Group (ห้ามแก้),ระบบทดสอบ - Test / UAT
17,System (ห้ามแก้),ระบบ Blood gas ทดสอบ Migrate
17,System Detail,ระบบ Blood gas ทดสอบ Migrate
17,Server Type (ห้ามแก้),
17,"Environment(Production, UAT, Testing/Development, Not Used,..)",Test
17,SAP ID,-
17,รหัสครุภัณฑ์,-
17,Serial Number,-
17,Organization,Siriraj
17,"Status
(Active / Inactive)",Active
17,Product Name,-
17,Model/Version,-
